episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
8,0.0,16.474251687526703,5261,42265,13.399385107362619
8,0.0,15.433495581150055,5262,42273,13.319241280621773
8,0.0,15.405766904354095,5263,42281,13.201456335507974
8,0.0,15.861124336719513,5264,42289,11.800078563021152
8,0.0,16.391181647777557,5265,42297,13.32353041612367
8,0.0,16.211002588272095,5266,42305,13.240217639638225
8,0.0,16.848348736763,5267,42313,13.47502069176558
8,0.0,15.828721761703491,5268,42321,13.392133330512909
8,0.0,15.308426797389984,5269,42329,13.733265228609223
8,0.0,16.490453958511353,5270,42337,13.445603788154123
8,0.0,14.654535353183746,5271,42345,13.291716017115727
8,0.0,16.500857174396515,5272,42353,13.599132688523726
8,0.0,16.592906296253204,5273,42361,13.34309125946121
8,0.0,18.000345766544342,5274,42369,13.679271404926332
8,0.0,16.46379041671753,5275,42377,13.275981283932369
9,0.0,18.10654091835022,5276,42386,13.110136124236156
8,0.0,14.759594023227692,5277,42394,12.612015802967322
8,0.0,17.215754628181458,5278,42402,13.600014591232696
8,0.0,15.006187081336975,5279,42410,13.626563700542716
8,0.0,15.857629299163818,5280,42418,12.625987133353828
8,0.0,15.542137384414673,5281,42426,12.923011746255614
8,0.0,15.594888389110565,5282,42434,12.852474990778466
8,0.0,15.577297985553741,5283,42442,12.544796204831146
9,0.0,16.076804041862488,5284,42451,13.313724528934072
8,0.0,17.575108349323273,5285,42459,13.453733489277127
8,0.0,15.60755443572998,5286,42467,13.503381838479031
8,0.0,15.81048434972763,5287,42475,13.413847898661471
8,0.0,18.531997799873352,5288,42483,13.231310728327866
8,0.0,14.995949387550354,5289,42491,12.537722912193725
8,0.0,15.485207498073578,5290,42499,12.08290478596278
8,0.0,17.32107573747635,5291,42507,12.029140013959847
8,0.0,16.5368292927742,5292,42515,12.720747661283841
8,0.0,17.298372507095337,5293,42523,9.700652821187244
8,0.0,15.748018503189087,5294,42531,12.209918821132486
8,0.0,15.850570023059845,5295,42539,13.314801683276556
8,0.0,19.283273339271545,5296,42547,11.662823135706743
8,0.0,17.475035667419434,5297,42555,13.055157857058095
8,0.0,17.47642856836319,5298,42563,13.334294494398945
8,0.0,17.343905091285706,5299,42571,13.29966063590537
8,0.0,15.385554194450378,5300,42579,13.255359712031275
8,0.0,16.92702144384384,5301,42587,13.26836397571281
8,0.0,16.734963297843933,5302,42595,13.291405379475949
8,0.0,16.267963528633118,5303,42603,13.361549623536796
8,0.0,14.562589406967163,5304,42611,13.539741862903103
8,0.0,15.482538223266602,5305,42619,13.142906607599944
8,0.0,15.460992515087128,5306,42627,13.673540975269441
